,Epoch,Scramble Depth,Time,isSolved,Move Count,Nodes Generated,Search Iterations
0,100,5,0.18578886985778809,True,3,1693,5
1,100,8,0.21144700050354004,True,4,2461,6
2,100,11,0.36788368225097656,True,7,4765,9
3,100,14,0.9288415908813477,True,8,10909,17
4,100,17,0.37676072120666504,True,7,4765,9
5,100,20,15.862186431884766,False,,152221,201
6,100,23,15.46974515914917,False,,152221,201
7,100,26,3.022624969482422,True,10,31645,44
8,100,29,2.543898344039917,True,9,27037,38
9,100,32,15.855030059814453,False,,152221,201
0,200,5,0.2961266040802002,True,5,3229,7
1,200,8,0.19464445114135742,True,4,2461,6
2,200,11,0.4173297882080078,True,7,4765,9
3,200,14,5.493223428726196,True,10,58525,79
4,200,17,1.21382474899292,True,9,13213,20
5,200,20,15.977841854095459,False,,152221,201
6,200,23,15.824885845184326,False,,152221,201
7,200,26,15.808374166488647,False,,152221,201
8,200,29,7.358511924743652,True,11,74653,100
9,200,32,14.822585582733154,True,10,143005,189
0,300,5,0.559978723526001,True,5,3229,7
1,300,8,0.4161083698272705,True,4,2461,6
2,300,11,0.8235230445861816,True,7,4765,9
3,300,14,7.132275581359863,True,10,37789,52
4,300,17,18.439846992492676,True,11,118429,157
5,300,20,0.6621975898742676,True,8,5533,10
6,300,23,21.851784706115723,False,,152221,201
7,300,26,24.611650705337524,False,,152221,201
8,300,29,15.227674722671509,True,11,139933,185
9,300,32,26.210184335708618,False,,152221,201
0,400,5,0.5713274478912354,True,5,3229,7
1,400,8,0.39769506454467773,True,4,2461,6
2,400,11,0.8748047351837158,True,7,4765,9
3,400,14,0.5545272827148438,True,6,3997,8
4,400,17,1.0534241199493408,True,9,10141,16
5,400,20,2.587355375289917,True,10,23197,33
6,400,23,1.262765645980835,True,9,14749,22
7,400,26,2.681626796722412,True,10,26269,37
8,400,29,9.936444282531738,True,11,84637,113
9,400,32,0.6104855537414551,True,8,5533,10
0,500,5,0.14828109741210938,True,3,1693,5
1,500,8,0.30258941650390625,True,6,3997,8
2,500,11,0.4113762378692627,True,7,5533,10
3,500,14,0.4870340824127197,True,8,5533,10
4,500,17,1.1270272731781006,True,9,13213,20
5,500,20,16.813311100006104,False,,152221,201
6,500,23,0.8374004364013672,True,9,7069,12
7,500,26,0.4923970699310303,True,8,5533,10
8,500,29,1.8662221431732178,True,9,17053,25
9,500,32,8.974839210510254,True,10,83869,112
